Ano;Mes;Nino;PDO;AMO;TNA;TSA
1948;1;-99.99;-0.11;-0.019;0.16;-0.22
1948;2;-99.99;-0.74;-0.032;-0.01;-0.12
1948;3;-99.99;-0.03;0.024;0.25;0.04
1948;4;-99.99;-1.33;-0.074;-0.13;-0.21
1948;5;-99.99;-0.23;-0.008;-0.07;-0.40
1948;6;-99.99;0.08;0.051;0.12;-0.64
1948;7;-99.99;-0.92;-0.044;-0.06;-0.40
1948;8;-99.99;-1.56;-0.027;-0.19;-0.53
1948;9;-99.99;-1.74;-0.057;-0.22;-0.41
1948;10;-99.99;-1.32;0.003;-0.10;-0.42
1948;11;-99.99;-0.89;0.130;0.08;-0.35
1948;12;-99.99;-1.70;0.058;0.00;-0.21
1949;1;-99.99;-2.01;0.149;-0.24;-0.19
1949;2;-99.99;-3.60;0.156;-0.15;0.01
1949;3;-99.99;-1.00;0.034;-0.31;-0.01
1949;4;-99.99;-0.53;0.094;-0.15;0.22
1949;5;-99.99;-1.07;-0.028;-0.46;0.08
1949;6;-99.99;-0.70;-0.003;-0.30;0.05
1949;7;-99.99;-0.56;0.067;-0.21;0.16
1949;8;-99.99;-1.30;0.098;-0.05;0.21
1949;9;-99.99;-0.93;0.066;0.02;0.23
1949;10;-99.99;-1.41;0.100;0.12;0.04
1949;11;-99.99;-0.83;0.104;-0.11;0.02
1949;12;-99.99;-0.80;0.114;0.06;-0.16
1950;1;-1.99;-2.13;0.107;-0.14;0.08
1950;2;-1.69;-2.91;-0.038;-0.36;0.15
1950;3;-1.42;-1.13;-0.110;-0.37;0.12
1950;4;-1.54;-1.20;-0.135;-0.11;-0.17
1950;5;-1.75;-2.23;-0.063;-0.25;-0.34
1950;6;-1.27;-1.77;-0.047;-0.13;-0.23
1950;7;-1.01;-2.93;-0.060;-0.18;-0.16
1950;8;-0.97;-0.70;0.016;-0.16;-0.34
1950;9;-0.98;-2.14;0.005;-0.06;-0.51
1950;10;-1.03;-1.36;-0.095;-0.18;-0.54
1950;11;-1.23;-2.46;0.075;-0.09;-0.46
1950;12;-1.31;-0.76;0.084;0.18;-0.92
1951;1;-1.30;-1.54;0.098;0.06;-0.98
1951;2;-1.04;-1.06;-0.006;-0.17;-0.70
1951;3;-0.38;-1.90;0.008;-0.07;-0.87
1951;4;-0.23;-0.36;0.164;0.17;-0.51
1951;5;-0.01;-0.25;0.168;0.14;-0.37
1951;6;0.00;-1.09;0.285;0.17;-0.26
1951;7;0.30;0.70;0.417;0.41;-0.11
1951;8;0.17;-1.37;0.299;0.20;0.05
1951;9;0.51;-0.08;0.245;0.15;0.05
1951;10;0.49;-0.32;0.255;0.09;0.03
1951;11;0.55;-0.28;0.170;-0.03;-0.08
1951;12;0.31;-1.68;0.170;-0.07;0.00
1952;1;0.13;-2.01;0.167;-0.41;0.06
1952;2;-0.01;-0.46;0.178;-0.15;-0.01
1952;3;-0.11;-0.63;0.226;-0.02;-0.08
1952;4;-0.02;-1.05;0.186;0.04;-0.08
1952;5;-0.14;-1.00;0.176;0.13;-0.19
1952;6;-0.54;-1.43;0.378;0.28;0.07
1952;7;-0.76;-1.25;0.368;0.17;-0.07
1952;8;-0.56;-0.60;0.399;0.16;-0.01
1952;9;-0.36;-0.89;0.357;0.37;-0.04
1952;10;-0.46;-0.35;0.350;0.26;-0.08
1952;11;-0.78;-0.76;0.246;0.28;0.00
1952;12;-0.39;0.04;0.336;0.55;-0.14
1953;1;0.20;-0.57;0.260;0.46;-0.15
1953;2;0.24;-0.07;0.180;0.41;-0.25
1953;3;0.29;-1.12;0.137;-0.04;0.01
1953;4;0.22;0.05;0.308;0.18;-0.29
1953;5;0.35;0.43;0.337;0.11;-0.14
1953;6;0.39;0.29;0.271;0.13;-0.10
1953;7;0.14;0.74;0.339;0.18;-0.07
1953;8;0.09;0.05;0.253;0.24;-0.06
1953;9;0.29;-0.63;0.275;0.20;0.04
1953;10;0.16;-1.09;0.143;0.16;0.03
1953;11;0.18;-0.03;0.239;0.16;-0.18
1953;12;0.41;0.07;0.253;0.17;-0.41
1954;1;0.43;-1.32;0.222;0.10;-0.43
1954;2;0.28;-1.61;0.090;-0.12;-0.50
1954;3;-0.38;-0.52;0.096;-0.26;-0.52
1954;4;-1.17;-1.33;-0.019;-0.46;-0.40
1954;5;-0.81;0.01;0.065;0.05;-0.61
1954;6;-0.93;0.97;0.094;0.04;-0.57
1954;7;-1.18;0.43;-0.050;-0.19;-0.66
1954;8;-1.43;0.08;-0.020;-0.13;-0.39
1954;9;-1.60;-0.94;-0.016;-0.23;-0.25
1954;10;-1.48;0.52;-0.037;-0.32;-0.14
1954;11;-1.13;0.72;-0.032;-0.17;-0.12
1954;12;-1.33;-0.50;-0.056;-0.30;-0.23
1955;1;-0.93;0.20;0.071;0.09;-0.42
1955;2;-0.95;-1.52;0.035;0.07;-0.60
1955;3;-1.06;-1.26;0.036;-0.04;-0.45
1955;4;-1.22;-1.97;0.090;-0.01;-0.52
1955;5;-1.28;-1.21;0.171;-0.12;-0.34
1955;6;-1.18;-2.44;0.188;-0.01;-0.44
1955;7;-1.15;-2.35;0.263;0.12;-0.27
1955;8;-1.35;-2.25;0.169;0.17;-0.46
1955;9;-1.43;-1.95;0.198;0.16;-0.41
1955;10;-2.31;-2.80;0.274;0.21;-0.28
1955;11;-2.45;-3.08;0.381;0.45;-0.20
1955;12;-2.03;-2.75;0.251;0.30;-0.57
1956;1;-1.20;-2.48;0.181;0.37;-0.50
1956;2;-0.99;-2.74;0.089;0.24;-0.69
1956;3;-0.83;-2.56;0.008;-0.04;-0.57
1956;4;-0.97;-2.17;0.058;-0.00;-0.73
1956;5;-0.80;-1.41;-0.063;-0.29;-0.45
1956;6;-0.92;-1.70;-0.270;-0.45;-0.43
1956;7;-1.06;-1.03;-0.096;-0.29;-0.26
1956;8;-1.17;-1.16;-0.104;-0.20;-0.19
1956;9;-0.98;-0.71;-0.095;-0.27;-0.19
1956;10;-0.97;-2.30;-0.049;-0.06;-0.44
1956;11;-1.14;-2.11;-0.092;-0.08;-0.43
1956;12;-0.89;-1.28;0.013;0.05;-0.49
1957;1;-0.51;-1.82;-0.086;-0.33;-0.37
1957;2;-0.22;-0.68;-0.112;-0.55;-0.11
1957;3;0.18;0.03;-0.025;-0.17;-0.07
1957;4;0.41;-0.58;-0.080;-0.36;-0.03
1957;5;0.62;0.57;-0.127;-0.35;-0.26
1957;6;0.63;1.76;-0.018;-0.09;-0.11
1957;7;0.87;0.72;0.034;-0.06;-0.31
1957;8;0.84;0.51;0.196;0.19;-0.21
1957;9;0.72;1.59;0.215;0.21;-0.35
1957;10;0.70;1.50;0.144;0.32;-0.38
1957;11;0.92;-0.32;0.078;0.23;-0.26
1957;12;1.30;-0.55;0.073;0.17;-0.16
1958;1;1.78;0.25;0.043;0.25;-0.26
1958;2;1.49;0.62;0.183;0.66;-0.26
1958;3;0.98;0.25;0.338;0.91;-0.57
1958;4;0.46;1.06;0.340;0.92;-0.63
1958;5;0.38;1.28;0.195;0.72;-1.07
1958;6;0.26;1.33;0.215;0.76;-1.06
1958;7;0.03;0.89;0.158;0.36;-0.51
1958;8;-0.01;1.06;0.155;0.27;-0.64
1958;9;-0.32;0.29;0.206;0.28;-0.63
1958;10;-0.27;0.01;0.146;0.07;-0.49
1958;11;0.05;-0.18;0.179;0.19;-0.39
1958;12;0.02;0.86;0.213;0.20;-0.02
1959;1;0.53;0.69;0.094;0.28;0.04
1959;2;0.43;-0.43;0.108;0.29;0.05
1959;3;0.19;-0.95;-0.034;-0.09;0.28
1959;4;0.06;-0.02;-0.010;-0.08;0.20
1959;5;-0.23;0.23;0.001;-0.22;-0.17
1959;6;-0.35;0.44;-0.066;-0.25;-0.14
1959;7;-0.86;-0.50;-0.038;-0.25;-0.24
1959;8;-0.77;-0.62;0.006;-0.29;-0.20
1959;9;-0.80;-0.85;0.119;-0.15;-0.10
1959;10;-0.48;0.52;0.106;-0.20;-0.13
1959;11;-0.66;1.11;0.044;-0.20;-0.22
1959;12;-0.42;0.06;0.103;-0.23;-0.23
1960;1;-0.28;0.30;0.170;-0.07;-0.33
1960;2;-0.46;0.52;0.210;0.18;-0.41
1960;3;-0.30;-0.21;0.082;0.20;-0.09
1960;4;-0.33;0.09;0.090;0.13;-0.22
1960;5;-0.25;0.91;0.296;0.27;0.01
1960;6;-0.49;0.64;0.312;0.10;-0.23
1960;7;-0.41;-0.27;0.264;0.08;0.08
1960;8;-0.15;-0.38;0.328;0.05;-0.02
1960;9;-0.28;-0.94;0.204;-0.05;-0.05
1960;10;-0.49;0.09;0.289;-0.01;-0.10
1960;11;-0.45;-0.23;0.243;0.10;0.01
1960;12;-0.38;0.17;0.131;-0.02;0.00
1961;1;-0.31;1.18;0.053;-0.04;-0.00
1961;2;-0.19;0.43;0.074;-0.07;-0.12
1961;3;-0.35;0.09;0.141;0.02;-0.02
1961;4;-0.46;0.34;0.220;0.17;-0.10
1961;5;-0.18;-0.06;0.186;0.20;0.03
1961;6;-0.06;-0.61;0.025;-0.04;-0.10
1961;7;-0.41;-1.22;-0.026;0.00;-0.21
1961;8;-0.67;-1.13;0.029;0.09;-0.19
1961;9;-0.94;-2.01;-0.004;-0.05;0.03
1961;10;-1.01;-2.28;0.022;-0.13;-0.02
1961;11;-0.63;-1.85;0.060;-0.06;-0.06
1961;12;-0.63;-2.69;0.206;0.27;-0.12
1962;1;-0.59;-1.29;0.142;0.22;-0.08
1962;2;-0.57;-1.15;0.144;0.12;-0.16
1962;3;-0.48;-1.42;0.158;0.41;-0.11
1962;4;-0.69;-0.80;0.080;0.26;-0.01
1962;5;-0.89;-1.22;0.015;0.36;0.18
1962;6;-0.65;-1.62;-0.079;0.06;0.08
1962;7;-0.53;-1.46;-0.015;0.26;-0.09
1962;8;-0.53;-0.48;-0.071;0.19;-0.03
1962;9;-0.78;-1.58;-0.003;0.09;-0.08
1962;10;-0.75;-1.55;0.058;0.08;0.03
1962;11;-0.95;-0.37;0.039;0.30;0.01
1962;12;-0.93;-0.96;0.182;0.51;-0.19
1963;1;-0.78;-0.33;0.150;0.56;-0.05
1963;2;-0.53;-0.16;0.158;0.51;0.01
1963;3;-0.10;-0.54;0.126;0.34;0.27
1963;4;-0.03;-0.41;0.096;0.42;0.21
1963;5;-0.30;-0.65;-0.093;0.14;0.42
1963;6;-0.11;-0.88;-0.055;0.11;0.45
1963;7;0.49;-1.00;-0.044;0.17;0.43
1963;8;0.62;-1.03;-0.081;0.13;0.45
1963;9;0.68;0.45;-0.210;-0.04;0.41
1963;10;0.64;-0.52;-0.079;-0.03;0.45
1963;11;0.77;-2.08;-0.065;0.17;0.69
1963;12;1.02;-1.08;-0.068;0.04;0.77
1964;1;0.79;0.01;-0.083;0.09;0.65
1964;2;0.38;-0.21;0.013;0.28;0.31
1964;3;-0.26;-0.87;0.031;0.29;0.33
1964;4;-0.87;-1.03;-0.154;-0.13;0.06
1964;5;-1.12;-1.91;0.032;0.08;-0.22
1964;6;-1.14;-0.32;-0.004;0.07;-0.14
1964;7;-0.96;-0.51;-0.152;-0.06;-0.20
1964;8;-1.26;-1.03;-0.242;-0.20;-0.21
1964;9;-1.40;-0.68;-0.228;-0.26;-0.68
1964;10;-1.35;-0.37;-0.280;-0.25;-0.79
1964;11;-1.44;-0.80;-0.174;-0.09;-0.63
1964;12;-1.37;-1.52;-0.129;-0.19;-0.76
1965;1;-0.89;-1.24;-0.207;-0.36;-0.39
1965;2;-0.56;-1.16;-0.185;-0.25;-0.08
1965;3;-0.34;0.04;-0.086;-0.13;0.11
1965;4;-0.44;0.62;-0.105;-0.18;0.10
1965;5;0.06;-0.66;-0.107;-0.21;0.15
1965;6;0.36;-0.80;-0.135;-0.28;-0.17
1965;7;0.61;-0.47;-0.196;-0.20;-0.39
1965;8;1.12;0.20;-0.219;-0.20;-0.21
1965;9;1.29;0.59;-0.230;-0.12;-0.03
1965;10;1.45;-0.36;-0.256;-0.10;-0.17
1965;11;1.42;-0.59;-0.285;-0.09;-0.30
1965;12;1.36;0.06;-0.132;0.01;-0.25
1966;1;1.12;-0.82;-0.084;-0.02;-0.19
1966;2;0.80;-0.03;0.002;0.37;-0.28
1966;3;0.93;-1.29;-0.018;0.43;-0.39
1966;4;0.35;0.06;0.035;0.52;0.08
1966;5;-0.38;-0.53;-0.007;0.36;0.13
1966;6;-0.08;0.16;-0.054;0.27;0.62
1966;7;0.04;0.26;-0.064;0.15;0.28
1966;8;-0.37;-0.35;-0.052;0.03;-0.06
1966;9;-0.44;-0.33;-0.009;0.07;-0.07
1966;10;-0.50;-1.17;0.005;0.10;-0.05
1966;11;-0.47;-1.15;-0.006;0.35;0.21
1966;12;-0.57;-0.32;0.071;0.24;0.60
1967;1;-0.67;-0.20;0.072;0.24;0.30
1967;2;-0.64;-0.18;0.079;-0.00;0.30
1967;3;-0.78;-1.20;-0.043;-0.15;-0.03
1967;4;-1.08;-0.89;-0.024;0.05;-0.20
1967;5;-0.59;-1.24;-0.196;-0.16;-0.37
1967;6;-0.26;-1.16;-0.270;-0.21;-0.61
1967;7;-0.33;-0.89;-0.239;-0.20;-0.62
1967;8;-0.42;-1.24;-0.174;-0.30;-0.40
1967;9;-0.86;-0.72;-0.106;-0.14;-0.35
1967;10;-0.74;-0.64;-0.109;-0.14;-0.61
1967;11;-0.62;-0.05;-0.244;-0.33;-0.40
1967;12;-0.65;-0.40;-0.162;-0.23;-0.13
1968;1;-0.85;-0.95;-0.256;-0.30;-0.03
1968;2;-1.07;-0.40;-0.207;-0.11;-0.24
1968;3;-0.95;-0.31;-0.218;-0.06;-0.26
1968;4;-0.72;-1.03;-0.165;-0.11;-0.01
